index,Hotel_Name,Average_Score,count
0,11 Cadogan Gardens,8.7,159
1,1K Hotel,7.7,148
2,25hours Hotel beim MuseumsQuartier,8.8,689
3,41,9.6,103
4,45 Park Lane Dorchester Collection,9.4,28
5,88 Studios,8.4,459
6,9Hotel Republique,8.8,183
7,A La Villa Madame,8.8,41
8,ABaC Restaurant Hotel Barcelona GL Monumento,8.8,31
9,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,8.1,289
10,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,8.6,56
11,AC Hotel Irla a Marriott Lifestyle Hotel,7.9,16
12,AC Hotel Milano a Marriott Lifestyle Hotel,8.3,72
13,AC Hotel Paris Porte Maillot by Marriott,8.5,75
14,AC Hotel Sants a Marriott Lifestyle Hotel,8.0,91
15,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,8.6,45
16,ADI Doria Grand Hotel,8.3,147
17,ADI Hotel Poliziano Fiera,8.2,107
18,ARCOTEL Kaiserwasser Superior,8.6,143
19,ARCOTEL Wimberger,8.2,149
20,AZIMUT Hotel Vienna,8.2,166
21,Abba Garden,7.9,125
22,Abba Sants,8.2,120
23,Acad mie H tel Saint Germain,9.0,255
24,Acca Palace,8.5,209
25,Ace Hotel London Shoreditch,8.6,514
26,Acevi Villarroel,7.8,352
27,Acta Atrium Palace,8.5,458
28,Acta CITY47,8.1,381
29,Admiral Hotel,7.3,26
30,Adria Boutique Hotel,8.8,231
31,Ako Suites Hotel,8.7,131
32,Albus Hotel Amsterdam City Centre,8.2,194
33,Alexandra Barcelona A DoubleTree by Hilton,8.3,77
34,Alma Barcelona GL,9.2,179
35,Alma Boutique Hotel,8.7,152
36,Aloft London Excel,8.7,1126
37,Am Spiegeln,8.3,21
38,Amadi Panorama Hotel,8.4,481
39,Amadi Park Hotel,8.1,396
40,Amarante Beau Manoir,7.2,159
41,Amarante Champs Elys es,7.7,102
42,Amba Hotel Charing Cross,9.3,785
43,Amba Hotel Marble Arch,8.5,1262
44,Ambassade Hotel,9.3,551
45,Ambassadors Bloomsbury,7.9,768
46,Amp re,8.8,172
47,Amsterdam Canal Residence,8.3,67
48,Amsterdam Marriott Hotel,8.1,389
49,Andaz Amsterdam Prinsengracht A Hyatt Hotel,9.3,214
50,Andaz London Liverpool Street,9.0,519
51,Andreola Central Hotel,8.3,200
52,Antares Hotel Accademia,8.4,30
53,Antares Hotel Rubens,8.5,113
54,Antica Locanda Dei Mercanti,9.0,82
55,Aparthotel Adagio Vienna City,8.1,312
56,Aparthotel Arai 4 Superior,9.3,205
57,Aparthotel Atenea Barcelona,8.0,178
58,Aparthotel Mariano Cubi Barcelona,8.3,91
59,Apex City Of London Hotel,9.0,1049
60,Apex London Wall Hotel,9.1,437
61,Apex Temple Court Hotel,9.2,1037
62,Apollo Hotel Amsterdam,8.2,803
63,Apollofirst Boutique Hotel,8.5,372
64,Appartement Hotel an der Riemergasse,9.2,225
65,Arbor City,8.9,781
66,Arbor Hyde Park,8.4,826
67,Arenas Atiram Hotels,7.5,75
68,Arion Cityhotel Vienna und Appartements,8.1,464
69,Arioso,8.4,38
