score,sentiment,word
577.7,0,negative
81.0,0,unusable
77.0,0,teeth
75.7,0,unreliable
73.0,0,loudly
71.8,0,vent
67.2,0,damaged
59.0,0,rudely
58.2,0,inconsistent
55.0,0,humming
53.0,0,sewer
51.7,0,inappropriate
48.6,0,repairs
45.7,0,unsatisfactory
42.9,0,leaked
42.3,0,rattled
42.3,0,continuous
41.7,0,stunk
41.6,0,blood
41.0,0,ignorant
39.7,0,leaky
39.3,0,intermittent
39.2,0,sewage
38.3,0,minuscule
37.4,0,slamming
36.5,0,chipped
36.3,0,modernising
36.2,0,scratched
35.8,0,skirting
35.8,0,flushed
35.2,0,bins
35.0,0,unplug
35.0,0,flimsy
35.0,0,disorganised
34.6,0,creaked
34.5,0,cracked
34.3,0,moldy
34.1,0,dusty
33.9,0,insufficient
33.7,0,credited
33.7,0,tripped
33.2,0,torn
33.2,0,drainage
33.0,0,underwear
32.6,0,erratic
32.4,0,authorisation
31.7,0,yelling
31.7,0,mechanism
31.6,0,dangerous
31.4,0,squashed
31.2,0,outrageous
31.0,0,signage
31.0,0,careless
31.0,0,nil
31.0,0,dripped
31.0,0,grouting
31.0,0,drill
31.0,0,hopeless
31.0,0,thin
30.8,0,dripping
30.8,0,generator
30.4,0,urine
30.4,0,unacceptable
30.3,0,damages
29.8,0,draining
29.7,0,knocking
29.7,0,severely
29.7,0,slipping
29.7,0,teabag
29.7,0,curt
29.6,0,reset
29.4,0,uninterested
29.2,0,stain
29.2,0,stains
28.6,0,pipes
28.3,0,shaking
28.3,0,aloof
28.3,0,disorganized
28.2,0,draughty
28.2,0,shambles
28.1,0,irritating
28.1,0,mold
28.0,0,flooded
27.9,0,dingy
27.8,0,blamed
27.8,0,drafty
27.8,0,inconsiderate
27.7,0,hoovered
27.5,0,peeling
27.0,0,yuk
27.0,0,reimbursed
27.0,0,dishonest
27.0,0,unpolite
26.8,0,useless
26.7,0,inedible
26.7,0,prove
26.6,0,jammed
26.6,0,untidy
26.5,0,frustrating
26.3,0,hoovering
26.3,0,sweaty
26.3,0,alerted
26.3,0,flushing
26.3,0,reluctantly
26.3,0,shaft
26.1,0,annoying
25.9,0,slow
25.9,0,arguing
25.9,0,patchy
25.7,0,awkwardly
25.7,0,darker
25.7,0,noisiest
25.7,0,insult
25.7,0,sounding
25.6,0,problematic
25.5,0,temperamental
25.5,0,poorly
25.5,0,weak
25.5,0,inadequate
25.0,0,redecorating
25.0,0,unappealing
24.9,0,drain
24.8,0,musty
24.7,0,dissapointing
24.7,0,grout
24.6,0,unprofessional
24.6,0,hammering
24.5,0,assumed
24.4,0,denied
24.4,0,spotty
24.3,0,queued
24.3,0,oily
24.3,0,fraud
24.2,0,dire
24.1,0,tepid
23.9,0,flies
23.8,0,tatty
23.8,0,toe
23.7,0,unwelcoming
23.7,0,pending
23.6,0,uncomfortable
23.4,0,unhelpful
23.4,0,inattentive
23.4,0,chargeable
23.4,0,rumbling
23.3,0,awkward
23.2,0,cracks
23.0,0,uneasy
23.0,0,prostitutes
23.0,0,undercooked
23.0,0,ineffective
23.0,0,rim
23.0,0,crumbs
23.0,0,collapsed
22.7,0,slippery
22.7,0,sprayed
22.7,0,creaking
22.6,0,odour
