,Hotel_Name,Average_Score,count
0,Ritz Paris,9.8,28
1,H10 Casa Mimosa 4 Sup,9.6,116
2,H tel de La Tamise Esprit de France,9.6,61
3,41,9.6,103
4,Hotel The Serras,9.6,213
5,Haymarket Hotel,9.6,121
6,Hotel Casa Camper,9.6,301
7,Taj 51 Buckingham Gate Suites and Residences,9.5,133
8,Milestone Hotel Kensington,9.5,86
9,Ham Yard Hotel,9.5,141
10,Hotel Sacher Wien,9.5,130
11,Le Narcisse Blanc Spa,9.5,57
12,Waldorf Astoria Amsterdam,9.5,142
13,Mercer Hotel Barcelona,9.5,146
14,The Soho Hotel,9.5,157
15,Hotel The Peninsula Paris,9.5,58
16,Charlotte Street Hotel,9.5,141
17,Palais Coburg Residenz,9.5,16
18,Catalonia Square 4 Sup,9.4,437
19,Shangri La Hotel at The Shard London,9.4,1113
20,The Wittmore Adults Only,9.4,85
21,Batty Langley s,9.4,345
22,Corinthia Hotel London,9.4,213
23,La Chambre du Marais,9.4,88
24,Catalonia Magdalenes,9.4,311
25,The Beaumont Hotel,9.4,120
26,Nolinski Paris,9.4,113
27,Rosewood London,9.4,390
28,The Toren,9.4,400
29,Hotel Sans Souci Wien,9.4,235
30,The Savoy,9.4,540
31,Hotel Margot House,9.4,86
32,Lansbury Heritage Hotel,9.4,40
33,Covent Garden Hotel,9.4,74
34,Splendide Royal Paris,9.4,16
35,The Lanesborough,9.4,31
36,Hotel Monge,9.4,115
37,The Goring,9.4,102
38,45 Park Lane Dorchester Collection,9.4,28
39,The One Barcelona GL,9.4,85
40,Boutiquehotel Das Tyrol,9.4,139
41,H tel D Aubusson,9.4,294
42,Intercontinental London The O2,9.4,2551
43,Excelsior Hotel Gallia Luxury Collection Hotel,9.4,310
44,Pillows Anna van den Vondel Amsterdam,9.4,56
45,The Guesthouse Vienna,9.4,292
46,Hotel Palace GL,9.4,357
47,Best Western Premier Kaiserhof Wien,9.4,334
48,Hotel Eiffel Blomet,9.4,15
49,Goralska R sidences H tel Paris Bastille,9.4,24
50,Hotel Am Stephansplatz,9.3,135
51,H tel Square Louvois,9.3,72
52,Monument Hotel,9.3,241
53,South Place Hotel,9.3,326
54,Small Luxury Hotel Altstadt Vienna,9.3,173
55,Le Tsuba Hotel,9.3,57
56,H tel Saint Marc,9.3,76
57,Hotel K nig von Ungarn,9.3,268
58,Bulgari Hotel London,9.3,37
59,Le 123 S bastopol Astotel,9.3,130
60,The Nadler Victoria,9.3,601
61,Hotel Spadari Al Duomo,9.3,243
62,The Ritz London,9.3,406
63,Le Relais Montmartre,9.3,182
64,Claridge s,9.3,157
65,COMO The Halkin,9.3,29
66,Canal House,9.3,184
67,The Montague On The Gardens,9.3,414
68,Park Hyatt Vienna,9.3,92
69,H tel Le Royal Monceau Raffles Paris,9.3,22
70,Olivia Plaza Hotel,9.3,773
71,Hotel Dupond Smith,9.3,23
72,Hotel Cafe Royal,9.3,364
73,The LaLit London,9.3,62
74,Mill sime H tel,9.3,167
75,Hotel Rathaus Wein Design,9.3,338
76,Le Meurice,9.3,40
77,Olivia Balmes Hotel,9.3,510
78,Egerton House,9.3,76
79,Shangri La Hotel Paris,9.3,46
80,The Hoxton Amsterdam,9.3,409
81,Hotel DO Pla a Reial G L ,9.3,101
82,Hotel Plaza Athenee Paris,9.3,36
83,Four Seasons Hotel London at Park Lane,9.3,91
84,Maison Souquet,9.3,91
85,Four Seasons Hotel George V Paris,9.3,121
86,Palazzo Parigi Hotel Grand Spa Milano,9.3,122
87,Luxury Suites Amsterdam,9.3,229
88,Victoire Germain,9.3,53
89,The Langham London,9.3,559
90,Amba Hotel Charing Cross,9.3,785
91,H tel Le Relais Saint Germain,9.3,40
92,H tel Fabric,9.3,103
93,Hollmann Beletage Design Boutique,9.3,102
94,The Connaught,9.3,45
95,Aparthotel Arai 4 Superior,9.3,205
96,The Zetter Townhouse Marylebone,9.3,82
97,H10 Cubik 4 Sup,9.3,382
98,Hilton London Bankside,9.3,893
99,The Corner Hotel,9.3,103
100,Andaz Amsterdam Prinsengracht A Hyatt Hotel,9.3,214
101,Room Mate Giulia,9.3,521
102,Ambassade Hotel,9.3,551
103,UNA Maison Milano,9.3,320
104,The Ned,9.3,257
105,Montcalm Royal London House City of London,9.2,715
106,Hotel Le 10 BIS,9.2,49
107,Hotel Indigo London Tower Hill,9.2,346
108,Staybridge Suites London Vauxhall,9.2,244
109,Staybridge Suites London Stratford,9.2,490
110,Palais Hansen Kempinski Vienna,9.2,196
111,Primero Primera,9.2,71
112,One Aldwych,9.2,136
113,Okko Hotels Paris Porte De Versailles,9.2,43
114,Hotel Design Secret de Paris,9.2,93
115,Draycott Hotel,9.2,129
116,Hotel de Seze,9.2,80
117,Hotel Berna,9.2,1052
118,Grand H tel Du Palais Royal,9.2,206
119,La Maison Favart,9.2,127
120,Hotel Whistler,9.2,28
121,La Villa Haussmann,9.2,41
122,Conservatorium Hotel,9.2,138
123,Hotel Imperial A Luxury Collection Hotel,9.2,77
124,The Harmonie Vienna,9.2,206
125,Sixtytwo Hotel,9.2,233
126,Sofitel Legend The Grand Amsterdam,9.2,195
127,Catalonia Passeig de Gr cia 4 Sup,9.2,500
128,Sofitel London St James,9.2,352
129,Le 123 Elysees Astotel,9.2,53
130,Catalonia Catedral,9.2,488
131,Hotel Kaiserin Elisabeth,9.2,388
132,Bulgari Hotel Milano,9.2,17
133,The Hari London,9.2,235
134,Hotel 1898,9.2,432
135,The Henrietta Hotel,9.2,27
136,ME London by Melia,9.2,471
137,Alma Barcelona GL,9.2,179
138,H tel Moli re,9.2,124
139,Mandarin Oriental Milan,9.2,34
140,H10 Port Vell 4 Sup,9.2,359
141,Banks Mansion All Inclusive Hotel,9.2,353
142,H10 Metropolitan 4 Sup,9.2,514
143,Hotel Neri,9.2,76
