score,sentiment,word
155.6,1,positive
75.0,1,phenomenal
74.1,1,wonderfully
73.7,1,aerobus
63.7,1,sark
63.0,1,cutty
62.9,1,theatres
57.5,1,notre
57.4,1,dame
55.7,1,lication
53.0,1,pantheon
47.7,1,espanya
45.7,1,hofburg
42.4,1,oasis
40.7,1,museums
39.7,1,theatreland
38.1,1,immaculately
37.9,1,spotlessly
37.8,1,breathtaking
37.3,1,albert
37.0,1,lords
37.0,1,sse
36.3,1,gaudi
36.2,1,lush
36.1,1,galleries
35.9,1,harrods
35.7,1,lovley
34.4,1,divine
33.9,1,orsay
33.3,1,wonderfull
33.0,1,palladium
32.7,1,buckingham
32.3,1,seine
32.3,1,malls
31.8,1,tuileries
31.5,1,helpfulness
31.0,1,blackfriars
30.4,1,theaters
30.3,1,carnaby
30.2,1,adorable
30.1,1,tate
29.4,1,unforgettable
29.0,1,excelent
29.0,1,honore
28.6,1,heartbeat
28.3,1,eventim
28.1,1,louvre
27.7,1,pancreas
27.7,1,accomadating
27.7,1,unfailingly
27.7,1,stylishly
27.3,1,musee
27.2,1,hyde
27.2,1,immaculate
27.0,1,multilingual
27.0,1,restuarants
26.5,1,splendid
26.3,1,pla
26.3,1,galeries
26.3,1,gherkin
26.1,1,royalty
26.0,1,superb
25.7,1,frindly
25.7,1,abundant
25.6,1,gorgeous
25.6,1,fantastically
25.6,1,catalunya
25.3,1,stylish
25.2,1,lys
25.0,1,wicked
24.6,1,awesome
24.5,1,covent
24.5,1,lafayette
24.4,1,excellent
24.3,1,stansted
24.3,1,excelente
24.3,1,chocs
24.3,1,lovey
24.3,1,vendome
24.0,1,comfy
23.9,1,convinient
23.7,1,macarons
23.7,1,stamford
23.7,1,nearness
23.6,1,impeccable
23.5,1,unbeatable
23.1,1,fantastic
23.0,1,pompidou
23.0,1,tentative
23.0,1,helful
22.4,1,madeleine
22.4,1,piccadilly
22.4,1,tastefully
22.1,1,exquisite
21.8,1,parliament
21.8,1,exelent
21.7,1,amazing
21.7,1,diana
21.5,1,amazingly
21.4,1,yummy
21.3,1,excellant
21.3,1,impeccably
21.2,1,superbly
21.1,1,spacious
21.1,1,arc
20.6,1,obliging
20.6,1,fabulously
20.6,1,unobtrusive
20.5,1,beautiful
20.4,1,rathaus
20.4,1,triomphe
20.4,1,beautifully
20.3,1,curtious
20.3,1,attractively
20.3,1,serene
20.3,1,hubs
20.3,1,regents
20.3,1,abbey
20.2,1,fascinating
20.2,1,occitane
20.1,1,tasteful
20.1,1,queensway
20.1,1,friendly
20.0,1,courteous
19.9,1,friendliness
19.8,1,lazare
19.7,1,latin
19.7,1,yum
19.7,1,beaches
19.5,1,trafalgar
19.5,1,thoughtful
19.4,1,stunning
19.4,1,delicious
19.3,1,location
19.3,1,heavenly
19.2,1,museum
19.2,1,portobello
19.1,1,fabulous
19.0,1,marylebone
19.0,1,invalides
18.9,1,balloons
18.8,1,placa
18.8,1,alex
18.7,1,spacy
18.7,1,cute
18.6,1,earls
18.4,1,pancras
18.3,1,convienient
18.3,1,marta
18.3,1,warmly
18.2,1,aldgate
18.1,1,accomodating
18.1,1,helpful
18.0,1,apollo
17.8,1,spaciousness
17.8,1,trocadero
17.8,1,prater
17.7,1,airy
17.7,1,elegant
17.7,1,artsy
17.7,1,convienent
17.7,1,purified
17.7,1,lingual
17.7,1,spatious
17.6,1,oxford
17.4,1,sara
17.4,1,leafy
17.4,1,elemis
17.4,1,coeur
17.3,1,rer
17.3,1,quietness
17.2,1,strategic
17.2,1,gem
17.1,1,exceptional
17.1,1,closeness
17.0,1,helpfull
17.0,1,lima
17.0,1,patricia
17.0,1,eiffle
17.0,1,outstanding
16.9,1,conveniently
16.9,1,champs
16.7,1,elys
16.6,1,fab
16.5,1,opera
16.5,1,exellent
16.4,1,spotless
16.4,1,empire
16.4,1,homey
16.4,1,localization
16.3,1,flatscreen
16.3,1,regent
16.2,1,germain
16.1,1,sensational
16.1,1,moorgate
16.1,1,marvelous
16.0,1,wonderful
16.0,1,elysees
15.9,1,picadilly
15.9,1,terrific
15.7,1,southbank
15.7,1,cadet
15.7,1,ile
15.7,1,sants
15.7,1,putney
15.6,1,monument
15.4,1,pres
15.4,1,praise
15.3,1,duomo
15.3,1,peaceful
15.2,1,sacre
15.2,1,cookie
15.2,1,vondelpark
15.0,1,beautifull
15.0,1,clarins
15.0,1,graben
15.0,1,cupcakes
15.0,1,feast
15.0,1,juan
15.0,1,loveliest
15.0,1,awsome
15.0,1,maritime
15.0,1,contemporary
14.9,1,delightful
14.7,1,rambles
14.6,1,sloterdijk
14.6,1,modern
14.6,1,kudos
14.6,1,londons
14.6,1,pleasantly
14.6,1,confy
14.5,1,marvellous
14.5,1,shopping
14.5,1,stroll
14.4,1,understated
14.4,1,borough
14.3,1,amenable
14.3,1,enabling
14.3,1,william
14.3,1,pijp
14.3,1,congres
14.3,1,stephan
14.3,1,pedro
14.3,1,adrian
14.3,1,quirkiness
14.3,1,schonbrunn
14.3,1,lovely
14.2,1,history
14.2,1,kitted
14.1,1,elegantly
14.1,1,royal
14.1,1,spacey
14.1,1,magical
13.9,1,macaroons
13.9,1,frendly
13.9,1,magnificent
13.9,1,artistic
13.9,1,characterful
13.8,1,vibrant
13.8,1,sublime
13.8,1,friendlyness
13.8,1,maison
13.8,1,nbrunn
13.8,1,bravo
13.8,1,michel
13.8,1,accommodating
13.7,1,gloucester
13.7,1,links
13.7,1,grands
13.7,1,eva
13.7,1,locaton
13.7,1,modernity
13.7,1,exhibitions
13.7,1,fayette
13.6,1,sights
13.6,1,familia
13.6,1,delight
13.5,1,pharmacy
13.5,1,specious
13.5,1,sagrada
13.5,1,gracia
13.5,1,charming
13.4,1,olympic
13.4,1,sumptuous
13.4,1,observatory
13.4,1,ali
13.4,1,bliss
13.4,1,montmartre
13.3,1,relaxed
13.3,1,westfield
13.3,1,freindly
13.2,1,excellently
13.2,1,classy
13.2,1,bonus
13.2,1,brilliant
13.2,1,concorde
13.1,1,luxembourg
13.1,1,bayswater
13.0,1,godsend
13.0,1,stephansplatz
13.0,1,friedly
13.0,1,personalities
13.0,1,suberb
13.0,1,luca
13.0,1,pablo
13.0,1,francesco
13.0,1,restraunts
13.0,1,curteous
13.0,1,euston
13.0,1,stn
13.0,1,monoprix
13.0,1,atractions
12.9,1,elysee
12.8,1,jardin
12.8,1,boutiques
12.8,1,cheerful
12.8,1,eurostar
12.7,1,proximity
12.7,1,arty
12.7,1,danube
12.7,1,attentive
12.6,1,village
12.6,1,holborn
12.6,1,vibes
12.6,1,andre
12.6,1,blanche
12.6,1,ziggo
12.6,1,celebrated
12.5,1,mod
12.5,1,stones
12.4,1,quirky
12.3,1,passeig
12.3,1,nord
12.3,1,personalized
12.3,1,adored
12.3,1,commended
12.3,1,uniqueness
12.3,1,oozes
12.3,1,brera
12.3,1,cozy
12.2,1,hammersmith
12.2,1,convenient
12.2,1,brilliantly
12.2,1,brownie
12.2,1,petals
12.2,1,gardens
12.1,1,waterfront
12.1,1,bustle
12.1,1,thumbs
12.1,1,calm
11.9,1,wonderland
11.9,1,cricket
11.9,1,calming
11.8,1,unique
11.8,1,etoile
11.8,1,convient
11.8,1,palais
11.8,1,daniel
11.7,1,palaces
11.7,1,epic
11.7,1,comfty
11.7,1,elena
11.7,1,corteous
11.7,1,vosges
11.7,1,luxuriously
11.7,1,superbe
11.7,1,trevor
11.7,1,roberto
11.7,1,roland
11.7,1,kew
11.7,1,proseco
11.7,1,batobus
11.6,1,vibe
11.6,1,handy
11.6,1,neat
11.6,1,convent
11.5,1,gare
11.5,1,paddington
11.5,1,panoramic
11.5,1,palace
11.5,1,ben
11.4,1,harvey
11.4,1,germaine
11.4,1,attentative
11.4,1,exploring
11.3,1,gothic
11.3,1,landmarks
11.3,1,doormen
11.3,1,liverpool
11.3,1,eixample
11.3,1,leicester
